名称,非独占样本数,独占样本数,非独占样本数百分比,独占样本数百分比,
"Decoda.exe","7,384","5,964",99.91,80.69,
"ntdll.dll","3,404",704,46.06,9.53,
"MSVCR120D.dll","4,737",536,64.09,7.25,
"MSVCP120D.dll",316,124,4.28,1.68,
"kernel32.dll",96,23,1.30,0.31,
"KERNELBASE.dll",117,15,1.58,0.20,
"user32.DLL","2,842",12,38.45,0.16,
"COMCTL32.dll",29,3,0.39,0.04,
"uxtheme.dll",18,3,0.24,0.04,
"GDI32.dll",22,2,0.30,0.03,
"USP10.dll",2,2,0.03,0.03,
"LPK.dll",3,1,0.04,0.01,
"msvcrt.dll",1,1,0.01,0.01,
"RPCRT4.dll",1,1,0.01,0.01,
"[未知]",39,0,0.53,0.00,
"IPHLPAPI.DLL",1,0,0.01,0.00,
"RICHED20.dll",1,0,0.01,0.00,
"safemon.dll",1,0,0.01,0.00,
"Update.dll",2,0,0.03,0.00,
"WININET.dll",3,0,0.04,0.00,
"WS2_32.dll",1,0,0.01,0.00,
